tag_id,name,slug,language,games_count
467,Role Playing Game,role-playing-game,eng,20
1500,immersive,immersive,eng,1126
683,Photorealistic,photorealistic,eng,454
107,Family Friendly,family-friendly,eng,10720
39,Building,building,eng,7543
337,overlay,overlay,eng,217
62348,first person mod,first-person-mod,eng,14
153,Satire,satire,eng,1590
321,Bowling,bowling,eng,229
168,RTS,rts,eng,2978
65,Tower Defense,tower-defense,eng,8030
169,MOBA,moba,eng,712
40909,SteamVR Collectibles,steamvr-collectibles,eng,44
188,Parkour,parkour,eng,4110
186,Ninja,ninja,eng,2516
38844,looter shooter,looter-shooter,eng,797
198,Split Screen,split-screen,eng,8082
72,Local Multiplayer,local-multiplayer,eng,14041
182,4 Player Local,4-player-local,eng,1631
87822,4 giocatori divano,4-giocatori-divano,eng,32
191,Football,football,eng,2042
190,Soccer,soccer,eng,1834
87821,lan party,lan-party-2,eng,3
209,Drama,drama,eng,5994
324,Experience,experience,eng,310
43574,open-world,open-world-2,eng,9
6498,atmosphere,atmosphere,eng,27
133,3D Vision,3d-vision,eng,1156
283,Based On A Novel,based-on-a-novel,eng,57
296,Benchmark,benchmark,eng,32
40850,Steam Leaderboards,steam-leaderboards,eng,8478
203,Beat 'em up,beat-em-up,eng,3570
142,Detective,detective,eng,4085
268,Comic Book,comic-book,eng,2141
234,Superhero,superhero,eng,1456
328,Batman,batman,eng,55
128,Horses,horses,eng,288
130,Driving,driving,eng,5641
43578,Remote Play on Tablet,remote-play-on-tablet,eng,257
43577,Remote Play on Phone,remote-play-on-phone,eng,250
18188,controversial,controversial,eng,51
74338,karaihb,karaihb,eng,1
146,Nonlinear,nonlinear,eng,2485
35162,Battle Royale,battle-royale-2,eng,912
49953,Hero Shooter,hero-shooter-2,eng,922
12983,lootboxes,lootboxes,eng,5
88,Cute,cute,eng,39831
259,Metroidvania,metroidvania,eng,4723
258,Hand-drawn,hand-drawn,eng,9284
204,Gothic,gothic,eng,1182
278,Assassin,assassin,eng,962
5842,steam,steam,eng,820
7517,category,category,eng,5
44631,microtranzations,microtranzations,eng,1
178,Illuminati,illuminati,eng,378
90,Visual Novel,visual-novel,eng,10014
222,Choose Your Own Adventure,choose-your-own-adventure,eng,5138
334,achievements,achievements,eng,4928
116,2.5D,25d,eng,2955
281,Philisophical,philisophical,eng,39
243,1990's,1990s,eng,4038
138,Relaxing,relaxing,eng,21558
160,Dating Sim,dating-sim,eng,6830
46112,Shared/Split Screen Co-op,sharedsplit-screen-co-op,eng,2623
338,cloud saves,cloud-saves,eng,37
155,Fishing,fishing,eng,2196
159,Agriculture,agriculture,eng,869
409,co-op multiplayer,co-op-multiplayer,eng,8
165,Colorful,colorful,eng,28983
280,Time Attack,time-attack,eng,1818
19728,european,european,eng,12
61,Top-Down,top-down,eng,28660
136,Music,music,eng,26298
224,1980s,1980s,eng,3436
236,Top-Down Shooter,top-down-shooter,eng,3212
286,Psychedelic,psychedelic,eng,2850
291,Conspiracy,conspiracy,eng,1054
301,Transhumanism,transhumanism,eng,239
1656,mmo,mmo,eng,2297
48,Dungeon Crawler,dungeon-crawler,eng,7999
272,Inventory Management,inventory-management,eng,1784
200,Narration,narration,eng,3047
279,Supernatural,supernatural,eng,3192
183,Thriller,thriller,eng,3748
36002,psycholoical-horror,psycholoical-horror,eng,5
7629,enviroment,enviroment,eng,16
43369,new york,new-york-2,eng,2
105,World War II,world-war-ii,eng,1079
309,Dynamic Narration,dynamic-narration,eng,674
2071,futurism,futurism,eng,4
244,Mod,mod,eng,1419
95,Animation & Modeling,animation-modeling,eng,348
47,Lovecraftian,lovecraftian,eng,964
