developer_id,name,slug,games_count,image_background
4988,Daedalic Entertainment,daedalic-entertainment,63,https://media.rawg.io/media/screenshots/a16/a165c67bb75b40b5f8a310c55e9d34de.jpg
6294,Remedy Entertainment,remedy-entertainment,27,https://media.rawg.io/media/games/0b3/0b34647c42271600399b93d19b10f1aa.jpg
4878,Eidos Montreal,eidos-montreal,14,https://media.rawg.io/media/games/00d/00d374f12a3ab5f96c500a2cfa901e15.jpg
5734,Treyarch,treyarch,39,https://media.rawg.io/media/games/621/621abeb341a359cf755be4f80fa09c7f.jpg
4303,Techland,techland,52,https://media.rawg.io/media/games/92d/92d0afe47942bd1d31ebed3fc9387e52.jpg
4079,Avalanche Studios,avalanche-studios,18,https://media.rawg.io/media/screenshots/a49/a4984b40e4cfc14eb259a7ca3903b7eb.jpg
26425,Bandai Namco Entertainment,bandai-namco-entertainment,292,https://media.rawg.io/media/screenshots/ef2/ef244c1bdc250dc5c82c56846675b90b.jpg
28246,Panic Button,panic-button,15,https://media.rawg.io/media/screenshots/5f0/5f0caad57b7ba867a4b243a2c96cd069.jpg
13290,Lucasfilm,lucasfilm,43,https://media.rawg.io/media/screenshots/101/1015fe740ce5654eb97c9140f6da3c3e.jpg
4415,Ubisoft Toronto,ubisoft-toronto,16,https://media.rawg.io/media/games/de9/de93cd3e51d2c57e33bbf7dade34f25a.jpg
3844,Creative Assembly,creative-assembly,80,https://media.rawg.io/media/games/2d8/2d864084a72d9e348e8f5663d8f58ac6.jpg
2347,Turtle Rock Studios,turtle-rock-studios,14,https://media.rawg.io/media/games/c30/c304b2c132f6bc1b6bcec5b03417a005.jpg
11,Activision,activision,163,https://media.rawg.io/media/screenshots/d05/d0524e9b2e276dd9c8351881e897f7c9.jpg
3988,Croteam,croteam,33,https://media.rawg.io/media/games/261/261f147b8cbe9fed2da8d81a1bb52d68.jpg
10002,Rocksteady Studios,rocksteady-studios,16,https://media.rawg.io/media/screenshots/575/57589cc46b6846cbca23ada27bc11c0c.jpg
9264,DONTNOD Entertainment,dontnod-entertainment,25,https://media.rawg.io/media/games/efd/efd6b2cb621c41a2b6580d8ac260b8ba.jpg
3813,Monolith Productions,monolith-productions,32,https://media.rawg.io/media/games/a0c/a0c5990e25bae51c320403d155281d75.jpg
4115,Ubisoft Montpellier,ubisoft-montpellier,31,https://media.rawg.io/media/screenshots/45a/45af34fdb6e49b9438cd40163b4f5f5e.jpeg
3801,Infinity Ward,infinity-ward,20,https://media.rawg.io/media/games/4ca/4cabe38446288beb37fc73b2fe047b08.jpg
5342,Insomniac Games,insomniac-games,41,https://media.rawg.io/media/games/76c/76c2e0c8186879e159fcd1ac72f12aa5.jpg
5114,2K Marin,2k-marin,8,https://media.rawg.io/media/games/4ba/4ba9b4b68ffcc7019b112174883ba4d6.jpg
1971,Konami Digital Entertainment,konami-digital-entertainment,485,https://media.rawg.io/media/games/656/65637b0e1920bcb6664548de649bbe78.png
4598,Irrational Games,irrational-games,14,https://media.rawg.io/media/screenshots/1e9/1e9b788a1155ce5b6e3be5158b5f5087.jpg
1492,Double Eleven,double-eleven,22,https://media.rawg.io/media/screenshots/a59/a595606ae7a64643d164dc0072777120.jpg
7891,Beenox,beenox,40,https://media.rawg.io/media/games/abd/abd4fe622907a3bb98ac6c290037dd5a.jpg
11580,tinyBuild,tinybuild,40,https://media.rawg.io/media/games/ae1/ae1d93f1c29850a246cd6480a7b8ebdf.jpg
513,Crytek,crytek,30,https://media.rawg.io/media/screenshots/83d/83d261927a36100cafee5cc2711ca563.jpg
120,Epic Games,epic-games,46,https://media.rawg.io/media/screenshots/dbd/dbd43988f23859529e1a8c600c6a7e24.jpg
9300,Kojima Productions,kojima-productions,28,https://media.rawg.io/media/games/5ad/5adbec1ab1b6390835a3bc936b96091f.jpg
564,Klei Entertainment,klei-entertainment,24,https://media.rawg.io/media/screenshots/fde/fde071a634b0fd481644e52bf36bb34d.jpg
9914,Virtuos,virtuos,21,https://media.rawg.io/media/screenshots/93b/93b0b6d7033ddc93dc8031a65c35ff44.jpg
14196,Nerve Software,nerve-software,18,https://media.rawg.io/media/games/47b/47b50d880be8453bf9cda6e5c007bc26.jpg
13972,Electronic Arts Canada,ea-canada,142,https://media.rawg.io/media/games/39c/39cc060da7c25da5571c80eb8a53447b.jpg
13633,Ubisoft Shanghai,ubisoft-shanghai-2,30,https://media.rawg.io/media/games/306/306929ed01a599755f353e3de45c9326.jpg
458,Playdigious,playdigious,27,https://media.rawg.io/media/screenshots/351/351ee0915fcd5a64e976791794039d5c.jpg
8986,NetherRealm Studios,netherrealm-studios,16,https://media.rawg.io/media/screenshots/837/837544531ee999e51a548ecc6fb29804.jpg
14787,THQ,thq,36,https://media.rawg.io/media/games/3b0/3b0d4a884b8daa868b7af3ced09ff309.jpg
4056,Larian Studios,larian-studios,18,https://media.rawg.io/media/games/3e5/3e5b137b31a674513af88ce6f24994e6.jpg
256,Rebellion,rebellion,64,https://media.rawg.io/media/games/513/51304be386e26997e7f7d0ba24b08326.jpg
10251,Platinum Games,platinumgames,40,https://media.rawg.io/media/screenshots/c73/c735f779c571476e176d770f3ed9a7ca.jpg
325,Curve Digital,curve-digital,37,https://media.rawg.io/media/screenshots/2d9/2d9f74addd8f5b5f83459c2cb700aaf4.jpg
3466,11 Bit Studios,11-bit-studios,24,https://media.rawg.io/media/screenshots/db4/db41d42fc1d0540daf1ea327e6e5100f.jpg
13214,Quantic Dream,quantic-dream,11,https://media.rawg.io/media/games/dac/dacb81eafa0c6617af9b8912749b52ae.jpg
3461,Bohemia Interactive,bohemia-interactive,43,https://media.rawg.io/media/games/4a1/4a1fb1b4485cefc6de42eb6dd0559577.jpg
5113,2K China,2k-china,8,https://media.rawg.io/media/games/d43/d4357402bfcf2cf06650aab2e3bbf2a3.jpg
1320,High Voltage Software,high-voltage-software,55,https://media.rawg.io/media/screenshots/aef/aefe27d18546bc44d0aeee0cd9236b72.jpg
