creator_id,name,slug,games_count
349,James Worrall,james-worrall,8
24207,Allen Bogue,allen-bogue,7
265,Patrick Plourde,patrick-plourde,6
988,Travis McIntosh,travis-mcintosh,9
50,Craig Lafferty,craig-lafferty,4
2502,Adrian Carmack,adrian-carmack,52
1630,Sandy Petersen,sandy-petersen,41
144,Jerk Gustafsson,jerk-gustafsson,9
23352,Christian Antkow,christian-antkow,19
477,Sefton Hill,sefton-hill,10
91,Scott Krotz,scott-krotz,5
262,Jeffrey Yohalem,jeffrey-yohalem,6
25418,Ellen McLain,ellen-mclain,3
986,Jacob Minkoff,jacob-minkoff,9
20914,Michael Vance,michael-vance,11
1174,Craig Houston,craig-houston,12
18,Mikolai Stroinski,mikolai-stroinski,7
48,Matthew Carofano,matthew-carofano,7
143,Fredrik Ljungdahl,fredrik-ljungdahl,7
176,Scott Phillips,scott-phillips,8
1417,Stephen Barton,stephen-barton,9
479,Nick Arundel,nick-arundel,9
1274,Steve Fukuda,steve-fukuda,8
934,Michael Salvatori,michael-salvatori,30
4511,Corky Lehmkuhl,corky-lehmkuhl,13
228,Christopher Jurney,christopher-jurney,6
1271,Mark Rubin,mark-rubin,10
34,Scott Sinclair,scott-sinclair,3
85,Noah Hughes,noah-hughes,11
2177,Cory Barlog,cory-barlog,17
569,Raphaël Colantonio,raphael-colantonio,6
2205,Jon Burton,jon-burton,30
203,Alexander Maximchuk,alexander-maximchuk,4
200,Andrey Tkachenko,andrey-tkachenko,4
198,Viacheslav Aristov,viacheslav-aristov,4
86,Daniel Neuburger,daniel-neuburger,4
1486,Jade Raymond,jade-raymond,12
15390,John Van Deusen,john-van-deusen,12
4851,Nicholas Siren,nicholas-siren,6
550,Damjan Mravunac,damjan-mravunac,15
1184,Allister Brimble,alister-brimble,140
1269,Lorne Balfe,lorne-balfe,16
81,Maciej Szcześnik,maciej-szczesnik,3
21,Jędrzej Mróz,jedrzej-mroz,3
82,Tomasz Wójcik,tomasz-wojcik,3
21679,Jim Kjellin,jim-kjellin,6
240,Leonard Boyarsky,leonard-boyarsky,13
1337,Ron Fish,ron-fish,13
1727,John Paesano,john-paesano,7
133,Istvan Pely,istvan-pely,14
483,Nathan Burlow,nathan-burlow,6
77,Steven Jones,steven-jones,10
49,Ashley Cheng,ashley-cheng,7
746,Corey May,corey-may,8
373,Richard Jacques,richard-jacques,46
7787,Charles Deenen,charles-deenen,20
811,Mark Darin,mark-darin,12
263,Lucien Soulban,lucien-soulban,5
280,Nathan Grigg,nathan-grigg,13
267,Brian Tyler,brian-tyler,18
8709,Daniel Edwards,daniel-edwards,11
574,Hugues Tardif,hugues-tardif,6
233,Tim Cain,tim-cain,10
7341,Ludvig Forssell,ludvig-forssell,6
60,Martin Stig Andersen,martin-stig-andersen,4
888,Gareth Coker,gareth-coker,10
185,Drew Karpyshyn,drew-karpyshyn,14
1459,Bear McCreary,bear-mccreary,14
1097,Yoshifumi Hattori,yoshifumi-hattori,4
244,Mark Morgan,mark-morgan,27
3602,James Cunliffe,james-cunliffe,16
2321,Brian Anderson,brian-anderson,10
21677,Hugo Martin,hugo-martin,6
614,Michel Koch,michel-koch,4
191,Sam Hulick,sam-hulick,7
1865,Harry Gregson-Williams,harry-gregson-williams,14
2844,Michael Austin,michael-austin,6
1497,Michiel van den Bos,michiel-van-den-bos,17
4093,Jeff Pobst,jeff-pobst,7
243,Brian Fargo,brian-fargo,52
543,Tom Jubert,tom-jubert,12
566,Harvey Smith,harvey-smith,11
8165,Kurt Loudy,kurt-loudy,5
64,John Cook,john-cook,5
22796,Jason Martin,jason-martin,5
22827,David Kelvin,david-kelvin,19
377,Magnus Nedfors,magnus-nedfors,4
